application_id,client_id,application_date,requested_amount,approved_amount,purpose,status,decision_date,interest_rate_proposed,reason_for_rejection,officer_id
300,2681,2025-08-01,16326,24971,BUSINESS,PENDING,2025-08-24,22.46,,44
301,2440,2022-03-26,25298,0,CAR,PENDING,2022-03-27,13.22,Mean since early important bed herself sense.,95
302,872,2024-09-11,39411,0,MEDICAL,APPROVED,2024-09-12,12.15,,55
303,1382,2024-07-10,18283,48966,HOME,REJECTED,2024-08-05,5.69,,83
304,173,2025-10-18,2937,33207,PERSONAL,APPROVED,2025-10-27,23.95,,27
305,473,2025-07-12,18399,1342,MEDICAL,CANCELLED,2025-08-08,11.4,,23
306,259,2025-04-02,19661,45833,BUSINESS,CANCELLED,2025-04-03,18.53,,55
307,1195,2025-11-01,7091,0,MEDICAL,CANCELLED,2025-11-23,19.01,,39
308,386,2025-08-22,34227,17358,HOME,REJECTED,2025-08-23,8.61,,89
309,100,2022-10-19,24274,8105,HOME,PENDING,2022-10-31,12.96,,83
310,1906,2025-05-24,43732,0,CAR,APPROVED,2025-06-20,22.42,,23
311,2939,2024-09-18,12129,40025,MEDICAL,PENDING,2024-09-24,7.78,,27
312,769,2023-10-17,20774,12911,HOME,PENDING,2023-11-04,24.81,Pm act term.,9
313,852,2023-12-18,19790,30002,HOME,CANCELLED,2023-12-23,9.87,Month while door purpose card partner.,65
314,702,2024-06-15,42620,0,HOME,APPROVED,2024-07-15,17.46,,11
315,361,2021-08-10,46267,24851,PERSONAL,CANCELLED,2021-09-01,18.32,,35
316,2096,2023-12-20,7711,37638,BUSINESS,PENDING,2023-12-22,8.43,Likely behavior any their class but owner.,54
317,198,2025-08-09,1487,16074,CAR,CANCELLED,2025-09-01,15.16,,55
318,2675,2025-03-03,16737,40039,HOME,APPROVED,2025-03-30,16.28,Traditional politics somebody or.,23
319,2293,2024-11-24,3116,0,CAR,REJECTED,2024-12-01,21.85,,96
320,2788,2022-12-13,26472,0,CAR,APPROVED,2023-01-03,15.48,Toward behind hear.,88
321,267,2024-07-31,26064,0,BUSINESS,APPROVED,2024-08-19,24.41,,70
322,2210,2024-03-21,30097,23399,BUSINESS,PENDING,2024-04-08,16.87,,60
323,985,2025-10-23,45697,0,EDUCATION,PENDING,2025-10-26,17.69,Military fund court continue.,13
324,2435,2025-02-19,25763,0,EDUCATION,PENDING,2025-03-20,7.06,Effort mouth religious laugh usually century.,52
325,1187,2025-01-10,24220,13390,EDUCATION,REJECTED,2025-02-01,19.69,,62
326,217,2025-05-22,26016,0,EDUCATION,PENDING,2025-06-13,7.14,Magazine involve president key of weight.,12
327,535,2022-10-18,3997,45313,MEDICAL,REJECTED,2022-11-09,20.36,,61
328,1278,2022-02-20,39643,0,BUSINESS,PENDING,2022-03-14,23.66,,79
329,2942,2024-11-25,47425,4061,BUSINESS,REJECTED,2024-12-24,17.19,,33
330,644,2024-10-20,31099,31807,EDUCATION,REJECTED,2024-11-07,10.38,,46
331,1507,2024-11-04,40884,42886,EDUCATION,APPROVED,2024-11-05,22.55,,8
332,1558,2022-06-17,18086,29668,MEDICAL,CANCELLED,2022-07-17,11.0,Left since information affect.,57
333,582,2023-12-12,48826,43890,BUSINESS,REJECTED,2024-01-03,6.42,,22
334,1234,2024-01-19,23349,17975,MEDICAL,REJECTED,2024-02-14,12.5,Size including inside of foreign reach.,56
335,1288,2024-10-06,26306,0,EDUCATION,APPROVED,2024-10-15,11.56,,86
336,1232,2024-12-07,41260,36952,BUSINESS,PENDING,2024-12-30,18.11,,57
337,2097,2024-10-11,33912,0,PERSONAL,CANCELLED,2024-10-20,14.09,,72
338,549,2025-03-05,40620,45905,MEDICAL,REJECTED,2025-03-20,15.82,,2
339,2055,2024-11-21,17689,13752,PERSONAL,PENDING,2024-12-01,15.99,,19
340,2070,2024-07-23,6968,390,HOME,PENDING,2024-08-04,14.36,,78
341,547,2025-06-08,24941,8515,CAR,CANCELLED,2025-06-22,24.13,Course discover above large.,56
342,2141,2023-07-28,38760,0,EDUCATION,CANCELLED,2023-08-10,15.44,Everybody walk message stuff day his.,20
343,566,2024-07-14,17971,0,BUSINESS,APPROVED,2024-07-28,9.19,,19
344,1139,2025-05-11,21383,9519,HOME,REJECTED,2025-05-29,7.58,,57
345,2078,2024-12-06,34109,40913,EDUCATION,PENDING,2024-12-16,22.53,,29
346,2232,2025-01-01,8298,23210,HOME,APPROVED,2025-01-28,8.6,,86
347,293,2023-03-24,5285,26177,CAR,CANCELLED,2023-03-29,24.14,,69
348,406,2025-11-02,23397,32371,MEDICAL,PENDING,2025-11-07,17.19,,22
349,2054,2025-10-10,44924,22708,MEDICAL,CANCELLED,2025-11-05,8.04,,38
350,2094,2025-01-12,29658,4668,HOME,CANCELLED,2025-02-05,15.91,Owner ground involve best general.,77
351,879,2025-06-16,13746,0,CAR,CANCELLED,2025-07-07,19.86,,10
352,2968,2025-08-29,26128,7874,CAR,PENDING,2025-09-19,16.65,,90
353,2186,2022-09-13,4053,0,BUSINESS,REJECTED,2022-10-03,7.92,,10
354,2137,2022-08-01,30669,43429,MEDICAL,PENDING,2022-08-30,22.86,,45
355,1100,2024-09-08,8633,42552,BUSINESS,PENDING,2024-10-01,23.53,Name item describe some guess future send.,19
356,1554,2025-08-22,34576,36353,PERSONAL,APPROVED,2025-09-07,10.91,,40
357,1991,2025-08-22,2146,5348,PERSONAL,CANCELLED,2025-09-13,11.59,,36
358,744,2025-11-02,44976,18468,MEDICAL,APPROVED,2025-11-26,18.07,,57
359,1208,2025-05-07,20029,4724,BUSINESS,PENDING,2025-05-21,24.26,,54
360,2925,2025-10-21,42959,18047,EDUCATION,CANCELLED,2025-11-19,23.42,,60
361,2446,2024-05-25,19772,18606,HOME,PENDING,2024-06-17,13.03,,78
362,885,2025-06-12,6536,16937,HOME,CANCELLED,2025-07-09,5.51,,53
363,2857,2021-11-10,8170,23761,PERSONAL,PENDING,2021-11-26,24.0,,47
364,2845,2023-12-21,3493,0,BUSINESS,REJECTED,2023-12-28,8.23,,5
365,2302,2024-03-28,35834,239,BUSINESS,PENDING,2024-04-10,9.57,,64
366,603,2024-01-31,6966,0,EDUCATION,REJECTED,2024-02-18,22.68,,20
367,2111,2023-08-14,28945,29838,CAR,REJECTED,2023-08-31,8.33,Run professor scene describe stage around this eye.,95
368,583,2025-08-09,24009,19544,HOME,APPROVED,2025-08-16,18.58,,34
369,2740,2025-08-17,42824,0,CAR,CANCELLED,2025-08-24,18.24,,72
370,135,2025-10-10,30588,41807,CAR,APPROVED,2025-10-14,15.89,,4
371,1445,2025-02-19,12918,27759,CAR,REJECTED,2025-03-12,14.13,,42
372,1138,2024-11-24,9309,11396,EDUCATION,APPROVED,2024-12-07,10.2,,39
373,1836,2023-04-25,14118,48426,MEDICAL,REJECTED,2023-05-05,21.96,,80
374,1457,2025-02-06,38996,13010,HOME,APPROVED,2025-02-14,20.81,,80
375,1926,2024-04-13,15574,49721,PERSONAL,APPROVED,2024-04-26,13.74,,91
376,335,2025-09-19,14622,24492,CAR,APPROVED,2025-10-05,18.24,,41
377,1342,2024-06-30,9084,3500,CAR,REJECTED,2024-07-04,12.01,,14
378,1605,2025-07-13,16792,0,MEDICAL,APPROVED,2025-07-23,11.24,,69
379,1389,2025-09-29,1329,33180,EDUCATION,REJECTED,2025-10-20,5.54,,77
380,826,2025-02-22,3013,0,MEDICAL,APPROVED,2025-03-21,22.24,,6
381,326,2025-09-07,9192,27614,PERSONAL,APPROVED,2025-10-01,10.49,,4
382,2734,2024-08-11,26434,21901,HOME,CANCELLED,2024-08-21,16.6,,85
383,847,2025-07-03,38333,32778,HOME,APPROVED,2025-07-15,9.5,,43
384,1759,2025-07-20,39248,21669,BUSINESS,CANCELLED,2025-08-13,13.75,,52
385,1782,2022-06-27,41048,44069,HOME,REJECTED,2022-07-01,24.4,,21
386,1274,2025-05-19,44979,47386,HOME,APPROVED,2025-06-12,18.34,,98
387,778,2023-09-26,19060,0,BUSINESS,CANCELLED,2023-10-09,16.29,Customer student form war back when.,56
388,1507,2024-07-19,49624,0,PERSONAL,PENDING,2024-08-08,11.73,,22
389,334,2025-06-22,43989,41744,BUSINESS,PENDING,2025-07-06,22.94,Suffer must notice wall lot large reflect.,99
390,1014,2025-06-29,22363,40527,EDUCATION,REJECTED,2025-07-28,9.64,,68
391,1329,2024-09-28,10948,0,PERSONAL,APPROVED,2024-10-05,7.34,,8
392,1191,2022-09-12,38782,0,EDUCATION,CANCELLED,2022-09-26,22.49,,14
393,1959,2022-10-18,1428,15162,CAR,APPROVED,2022-11-04,11.75,,53
394,430,2025-04-01,23416,42298,CAR,REJECTED,2025-04-12,5.6,,59
395,719,2024-10-05,4169,30761,HOME,CANCELLED,2024-11-01,17.55,,61
396,2884,2022-10-05,29025,0,PERSONAL,PENDING,2022-11-04,23.43,,68
397,286,2023-02-20,9615,0,EDUCATION,APPROVED,2023-03-05,17.73,,21
398,738,2025-04-08,48355,13870,EDUCATION,APPROVED,2025-05-06,8.14,Wide yet always impact gun perhaps finally suddenly.,6
399,1080,2025-01-04,27465,11852,EDUCATION,PENDING,2025-01-18,17.41,,99
400,22,2024-09-25,27703,0,EDUCATION,REJECTED,2024-10-23,23.43,,100
401,1375,2023-01-31,8079,27457,EDUCATION,CANCELLED,2023-03-02,18.22,,90
402,1383,2025-10-26,20677,40002,PERSONAL,CANCELLED,2025-11-03,5.23,Result wait yourself art.,20
403,731,2025-07-30,13942,0,HOME,CANCELLED,2025-08-09,7.67,,93
404,1647,2025-06-02,25809,0,PERSONAL,APPROVED,2025-06-18,8.94,,78
405,1042,2023-11-19,15545,0,MEDICAL,APPROVED,2023-11-28,6.22,Candidate identify building early.,55
406,1697,2023-04-20,44095,12132,HOME,APPROVED,2023-05-15,8.06,Its final doctor child position finally language.,91
407,409,2025-10-15,22797,0,HOME,PENDING,2025-11-14,7.98,,1
408,2187,2025-02-02,33567,18988,HOME,REJECTED,2025-02-24,22.71,Far author size edge.,90
409,731,2024-02-19,21079,0,MEDICAL,CANCELLED,2024-03-18,18.91,,45
410,1034,2024-03-29,16131,9586,PERSONAL,REJECTED,2024-04-01,23.8,,46
411,2060,2024-08-17,41904,30654,CAR,CANCELLED,2024-08-24,17.64,,49
412,1987,2024-04-14,11520,17626,HOME,CANCELLED,2024-04-28,11.36,,98
413,300,2025-08-14,34827,0,MEDICAL,CANCELLED,2025-08-21,13.64,,48
414,1566,2024-04-10,44892,38157,CAR,APPROVED,2024-04-20,6.07,,4
415,1372,2025-03-25,39446,4850,BUSINESS,REJECTED,2025-04-14,20.86,,88
416,910,2024-02-17,14587,0,PERSONAL,PENDING,2024-03-13,7.73,,92
417,819,2025-10-20,46979,49890,PERSONAL,PENDING,2025-11-17,9.03,,26
418,669,2021-03-21,5433,3746,PERSONAL,CANCELLED,2021-04-12,11.81,Movement perform skin how.,9
419,2770,2025-10-29,13262,0,CAR,PENDING,2025-11-09,19.12,,73
420,904,2025-10-01,43322,35418,PERSONAL,PENDING,2025-10-18,11.84,,72
421,60,2024-05-13,36001,4282,BUSINESS,CANCELLED,2024-05-14,24.36,,35
422,1308,2024-07-23,7695,0,PERSONAL,CANCELLED,2024-08-14,14.9,,52
423,2599,2024-06-07,6306,48564,PERSONAL,REJECTED,2024-07-07,17.59,,72
424,1198,2025-04-10,5262,35906,EDUCATION,PENDING,2025-04-30,20.69,Enjoy authority result environmental not police recently.,93
425,1855,2023-08-15,32738,0,MEDICAL,REJECTED,2023-08-31,14.75,May name tough size political quickly.,4
426,2847,2025-04-20,4665,5814,HOME,PENDING,2025-04-25,15.09,,25
427,561,2024-10-04,48919,32752,EDUCATION,CANCELLED,2024-10-23,8.24,,54
428,2973,2023-11-18,6554,21994,CAR,PENDING,2023-12-03,7.97,,33
429,1679,2025-10-15,12878,0,CAR,PENDING,2025-10-20,14.42,,18
430,1556,2025-04-30,26109,0,PERSONAL,APPROVED,2025-05-27,15.58,Down state nearly join while.,71
431,1465,2025-07-16,22432,30322,BUSINESS,PENDING,2025-07-28,19.18,,61
432,2161,2022-02-15,46266,28850,EDUCATION,PENDING,2022-02-23,22.96,,83
433,2630,2025-07-04,31755,46574,EDUCATION,APPROVED,2025-07-15,16.18,,11
434,616,2023-07-27,1452,0,MEDICAL,APPROVED,2023-08-11,16.24,Explain wear realize certainly particular rise analysis information.,90
435,836,2025-09-05,43102,22831,CAR,PENDING,2025-09-19,9.72,,28
436,81,2025-06-02,27460,18007,HOME,APPROVED,2025-06-23,12.82,,14
437,1677,2025-06-10,38850,28796,PERSONAL,PENDING,2025-06-24,7.72,,38
438,966,2025-08-20,3321,22948,CAR,PENDING,2025-08-28,23.58,,44
439,1934,2024-07-31,37713,41809,BUSINESS,REJECTED,2024-08-23,8.21,,54
440,2956,2024-12-28,40049,44132,CAR,REJECTED,2024-12-30,5.73,,32
441,691,2025-05-16,3965,0,CAR,APPROVED,2025-06-06,10.56,Item drive modern security matter tax back indicate.,58
442,1841,2022-09-17,7873,27076,EDUCATION,CANCELLED,2022-10-10,18.9,,93
443,1453,2025-04-23,26354,28319,PERSONAL,APPROVED,2025-05-20,5.38,,23
444,2689,2023-10-13,24970,48078,HOME,APPROVED,2023-11-11,23.67,,78
445,1497,2024-09-23,29068,8224,BUSINESS,PENDING,2024-10-10,12.91,,61
446,77,2022-01-18,23064,42385,EDUCATION,REJECTED,2022-01-23,15.93,Whatever feel manage heavy sell.,92
447,1674,2024-10-22,19891,14648,HOME,CANCELLED,2024-10-24,17.92,Military as art identify.,34
448,1009,2024-08-18,30294,41474,CAR,APPROVED,2024-09-03,21.48,,16
449,1452,2025-03-21,40072,47221,EDUCATION,REJECTED,2025-04-03,22.1,,50
450,2565,2024-12-03,45339,47699,PERSONAL,PENDING,2025-01-01,12.76,,72
451,2287,2022-10-15,15131,17005,CAR,REJECTED,2022-10-26,17.92,,90
452,2514,2022-08-28,40761,21640,EDUCATION,CANCELLED,2022-09-16,18.81,,83
453,195,2024-04-29,9353,23481,MEDICAL,CANCELLED,2024-05-29,9.31,,13
454,2208,2021-09-20,19508,0,PERSONAL,PENDING,2021-10-15,22.1,,8
455,353,2025-01-31,13579,25565,HOME,CANCELLED,2025-03-02,18.58,,100
456,2400,2025-05-15,25080,4552,HOME,CANCELLED,2025-05-24,12.57,,82
457,2990,2025-06-04,43165,0,MEDICAL,APPROVED,2025-06-16,17.88,,54
458,945,2024-11-18,46597,16203,PERSONAL,PENDING,2024-12-01,23.16,,73
459,2201,2023-09-10,21031,44267,CAR,PENDING,2023-09-15,15.11,,89
460,375,2025-10-09,40781,15469,EDUCATION,REJECTED,2025-10-27,8.74,,63
461,1770,2025-11-02,26961,17960,CAR,CANCELLED,2025-12-02,17.9,Must expect fly.,69
462,2875,2025-10-07,23968,7310,HOME,APPROVED,2025-10-29,10.25,Reflect money only deal.,61
463,1794,2025-02-19,10883,28662,CAR,PENDING,2025-03-10,20.8,Customer pretty child design vote your color.,82
464,148,2024-10-03,38289,21405,BUSINESS,APPROVED,2024-10-30,22.91,,95
465,972,2024-11-12,49911,13188,HOME,REJECTED,2024-11-21,12.76,,78
466,267,2024-12-02,43655,42338,CAR,CANCELLED,2024-12-29,14.11,,75
467,1351,2023-01-04,6226,47346,PERSONAL,PENDING,2023-01-23,22.89,Alone suffer rate result.,65
468,812,2025-01-16,22671,37763,EDUCATION,CANCELLED,2025-02-02,18.31,,10
469,243,2025-10-02,12031,49687,CAR,PENDING,2025-10-24,10.02,Rise pattern friend your significant decade matter all.,12
470,114,2025-10-15,35992,0,CAR,CANCELLED,2025-10-24,8.99,,58
471,1583,2025-01-01,28825,9196,BUSINESS,REJECTED,2025-01-29,7.61,,27
472,430,2025-05-14,23351,37831,HOME,APPROVED,2025-06-05,23.81,,23
473,1811,2025-04-08,6113,26113,HOME,CANCELLED,2025-04-15,20.59,,35
474,2240,2024-09-20,42015,14967,PERSONAL,APPROVED,2024-09-26,10.78,,63
475,1431,2023-03-13,40263,36739,PERSONAL,PENDING,2023-04-05,12.09,,26
476,2519,2025-07-02,41331,0,PERSONAL,APPROVED,2025-07-24,7.17,,76
477,403,2025-09-28,47061,13922,BUSINESS,CANCELLED,2025-10-24,14.44,Listen ground think partner wall.,53
478,392,2025-09-24,4373,34795,BUSINESS,REJECTED,2025-10-22,17.84,,36
479,2391,2025-08-15,33510,22730,CAR,CANCELLED,2025-09-06,11.4,,81
480,636,2025-02-17,16608,0,MEDICAL,REJECTED,2025-03-10,7.6,Conference side such prevent city far music nice.,62
481,367,2025-04-05,41500,0,MEDICAL,REJECTED,2025-04-07,23.69,Chair perform much throughout.,53
482,992,2025-09-28,27311,0,HOME,REJECTED,2025-10-17,12.3,,59
483,619,2024-01-05,8941,39293,MEDICAL,APPROVED,2024-01-28,20.38,,40
484,2810,2023-04-13,20362,2726,BUSINESS,REJECTED,2023-05-08,21.7,,68
485,348,2023-06-07,38160,0,CAR,PENDING,2023-07-04,7.72,,14
486,1751,2022-02-11,39726,40627,MEDICAL,PENDING,2022-02-26,18.58,Blood fight role hospital hot you.,11
487,1214,2025-06-29,5338,0,MEDICAL,APPROVED,2025-07-17,21.39,,68
488,1663,2024-11-07,18970,18730,CAR,APPROVED,2024-11-28,10.92,,86
489,202,2023-10-17,17142,37000,BUSINESS,PENDING,2023-10-21,11.28,,9
490,2384,2022-05-18,41111,0,EDUCATION,APPROVED,2022-06-11,7.77,Happy bank never himself.,18
491,2281,2024-10-22,45995,22069,PERSONAL,APPROVED,2024-11-18,18.53,,62
492,1742,2021-05-07,5161,46305,BUSINESS,CANCELLED,2021-06-01,22.96,Short most role.,83
493,2028,2023-03-13,28774,1381,HOME,REJECTED,2023-03-14,23.49,,9
494,2913,2022-12-04,12066,31856,BUSINESS,PENDING,2022-12-23,14.15,Character red value option threat remember.,75
495,1945,2025-06-15,21490,30114,PERSONAL,REJECTED,2025-07-13,21.7,,25
496,1616,2025-08-23,23452,25552,EDUCATION,PENDING,2025-09-08,15.28,,47
497,368,2024-07-22,15637,45620,EDUCATION,PENDING,2024-08-08,9.0,,39
498,2757,2025-10-23,37009,0,MEDICAL,PENDING,2025-10-28,18.93,,20
499,809,2025-01-11,39525,17511,MEDICAL,APPROVED,2025-02-08,24.27,,93
500,1177,2025-07-22,35860,0,EDUCATION,PENDING,2025-08-20,7.73,,28
501,1797,2025-07-14,29398,17728,MEDICAL,APPROVED,2025-08-11,13.92,,31
502,2422,2025-02-19,15699,4162,BUSINESS,REJECTED,2025-02-22,22.17,,28
503,625,2023-05-31,47128,17201,HOME,PENDING,2023-06-20,6.47,,1
504,2406,2023-06-02,16526,22474,EDUCATION,APPROVED,2023-06-15,20.39,,51
505,89,2024-11-07,10690,0,BUSINESS,REJECTED,2024-11-08,15.06,,1
506,1793,2023-03-10,38276,0,EDUCATION,APPROVED,2023-03-12,17.76,Have natural house power.,2
507,1968,2025-01-21,36333,0,BUSINESS,PENDING,2025-02-20,18.38,,51
508,684,2024-06-22,41162,16655,HOME,APPROVED,2024-06-27,5.62,Serve size weight blue election science.,56
509,2643,2024-11-25,45859,46086,HOME,APPROVED,2024-12-22,13.2,,76
510,388,2025-10-27,48338,0,PERSONAL,REJECTED,2025-10-31,12.23,,39
511,312,2022-11-17,25647,0,CAR,REJECTED,2022-12-10,11.27,,14
512,2029,2024-10-14,39434,29533,HOME,CANCELLED,2024-10-28,17.37,,94
513,1097,2025-02-01,4361,1487,HOME,APPROVED,2025-02-23,13.29,,87
514,2749,2025-03-26,15650,42883,MEDICAL,PENDING,2025-04-20,22.29,,67
515,703,2025-08-20,16436,2795,PERSONAL,CANCELLED,2025-09-19,15.56,,7
516,686,2025-02-03,2819,48297,PERSONAL,REJECTED,2025-03-02,16.68,Prove start conference rise.,12
517,1487,2023-05-16,29553,0,HOME,APPROVED,2023-05-17,11.57,,93
518,1144,2025-07-25,14029,44404,HOME,CANCELLED,2025-08-10,15.05,Blood defense once fact fast movie.,88
519,1433,2021-06-26,14836,19685,PERSONAL,APPROVED,2021-07-03,13.09,Hand interview month rate.,30
520,1200,2022-09-16,41382,8790,BUSINESS,APPROVED,2022-09-21,6.61,,7
521,376,2022-11-24,15590,0,CAR,PENDING,2022-12-06,16.31,Huge fact toward serve statement agreement.,89
522,2976,2022-12-29,39128,4029,MEDICAL,PENDING,2023-01-12,5.03,,86
523,281,2025-04-03,49816,31625,CAR,CANCELLED,2025-05-02,6.8,,19
524,1579,2023-01-19,13559,27272,CAR,PENDING,2023-02-18,24.1,,48
525,1011,2024-12-05,29083,1342,CAR,CANCELLED,2024-12-22,10.24,,10
526,1472,2023-04-27,9646,0,EDUCATION,PENDING,2023-05-21,14.3,,80
527,1981,2022-11-09,16547,4981,MEDICAL,REJECTED,2022-11-28,8.54,,43
528,38,2025-10-31,1085,0,MEDICAL,PENDING,2025-11-29,17.04,,63
529,1591,2022-05-01,41767,16925,PERSONAL,PENDING,2022-05-22,18.36,Protect effort purpose game recent.,90
530,78,2025-09-24,41416,0,EDUCATION,CANCELLED,2025-10-20,21.93,,17
531,2053,2024-06-19,31800,0,MEDICAL,CANCELLED,2024-07-04,8.54,Public concern much between position Mr.,24
532,691,2025-09-28,43992,2022,CAR,CANCELLED,2025-10-26,11.06,,6
533,1313,2023-10-04,18747,21071,CAR,CANCELLED,2023-10-24,10.27,,38
534,207,2024-02-27,40326,18367,CAR,REJECTED,2024-03-10,20.67,Close kind type.,77
535,1105,2024-10-23,31893,8041,BUSINESS,REJECTED,2024-11-19,11.33,,47
536,1228,2023-04-11,13970,0,HOME,APPROVED,2023-04-15,8.17,,14
537,1999,2025-10-03,46057,930,HOME,CANCELLED,2025-10-09,20.53,,9
538,2277,2021-10-03,4379,32320,MEDICAL,REJECTED,2021-10-06,14.71,Itself friend piece loss.,53
539,2408,2024-11-10,47345,31609,PERSONAL,APPROVED,2024-11-27,11.99,,35
540,1829,2023-09-26,23778,3412,EDUCATION,PENDING,2023-10-05,9.86,,38
541,1932,2025-07-30,14006,34209,MEDICAL,PENDING,2025-08-05,17.99,,41
542,1599,2025-10-13,28681,0,HOME,CANCELLED,2025-10-14,18.55,,35
543,1487,2024-07-17,45843,22546,MEDICAL,PENDING,2024-08-07,24.61,Step role hundred program father gun.,32
544,1224,2023-05-03,27700,23219,PERSONAL,APPROVED,2023-06-02,18.09,,33
545,524,2025-03-11,43096,45024,CAR,PENDING,2025-03-16,13.75,Present measure rule my since nation.,45
546,290,2022-11-02,14799,0,EDUCATION,APPROVED,2022-11-23,6.35,,98
547,1202,2024-07-28,23944,38569,EDUCATION,APPROVED,2024-07-30,18.74,,71
548,2489,2022-07-17,25789,38064,EDUCATION,CANCELLED,2022-08-04,10.82,Decide wonder behind modern leg entire ready.,42
549,1891,2023-09-23,5429,0,MEDICAL,REJECTED,2023-09-30,14.56,,13
550,1245,2024-04-30,17669,33670,MEDICAL,REJECTED,2024-05-11,13.63,,62
551,743,2025-03-10,4287,36282,MEDICAL,REJECTED,2025-03-14,8.25,,79
552,2810,2024-08-14,32472,37337,MEDICAL,CANCELLED,2024-09-08,17.38,Off court myself pay trial rock.,56
553,1052,2022-10-30,16224,0,CAR,APPROVED,2022-11-14,17.34,,86
554,52,2025-06-14,49677,8622,PERSONAL,PENDING,2025-07-09,7.07,Around us across mind mission next.,53
555,341,2025-06-30,14773,41337,BUSINESS,APPROVED,2025-07-24,15.3,,94
556,2025,2025-03-30,1405,32523,MEDICAL,PENDING,2025-04-23,11.94,,66
557,1174,2024-11-20,14881,0,MEDICAL,REJECTED,2024-12-08,5.94,,66
558,2405,2025-06-28,30923,40838,MEDICAL,PENDING,2025-07-08,15.91,Become church until a writer.,91
559,17,2022-11-07,40467,24916,HOME,CANCELLED,2022-12-05,21.06,Sing bring phone.,79
560,1186,2025-03-27,15861,0,CAR,APPROVED,2025-04-19,11.97,,25
561,2890,2023-09-15,45684,0,BUSINESS,CANCELLED,2023-10-15,11.53,,100
562,2030,2025-07-13,46077,41104,CAR,PENDING,2025-08-04,9.78,,94
563,604,2023-12-30,4186,0,BUSINESS,PENDING,2024-01-01,19.71,,73
564,1118,2025-11-02,34150,43942,BUSINESS,CANCELLED,2025-11-22,19.94,,99
565,2108,2025-04-20,32913,12656,PERSONAL,CANCELLED,2025-05-12,5.58,Do ahead discuss impact stand organization true.,44
566,283,2023-02-25,44606,0,EDUCATION,REJECTED,2023-03-24,20.26,,95
567,2855,2025-08-07,9193,0,EDUCATION,REJECTED,2025-09-05,20.19,,72
568,1978,2025-05-29,31904,0,CAR,REJECTED,2025-06-01,19.64,,100
569,2251,2023-12-04,21569,15237,BUSINESS,APPROVED,2023-12-14,13.75,,68
570,1492,2021-06-10,21537,17940,PERSONAL,REJECTED,2021-07-09,6.82,Read hair should man part.,23
571,1484,2025-08-16,46287,0,CAR,APPROVED,2025-08-21,10.27,,45
572,2869,2025-08-25,31350,0,MEDICAL,APPROVED,2025-09-23,18.61,,3
573,1762,2025-07-10,48837,0,MEDICAL,APPROVED,2025-07-21,19.6,,5
574,9,2024-10-15,38489,26059,PERSONAL,APPROVED,2024-11-05,11.04,,17
575,1005,2022-09-17,33775,19080,CAR,REJECTED,2022-10-02,24.85,,22
576,1995,2021-12-24,12736,26359,EDUCATION,APPROVED,2022-01-21,17.06,Response until win upon fight effort thank result.,33
577,2189,2022-12-24,29930,38135,BUSINESS,PENDING,2022-12-29,9.83,Three baby little defense morning.,57
578,1463,2025-10-28,36216,0,BUSINESS,REJECTED,2025-11-16,11.21,Customer decision happen.,27
579,1226,2022-02-01,37406,1010,EDUCATION,REJECTED,2022-03-01,8.42,,95
580,2321,2025-02-28,47701,42459,CAR,REJECTED,2025-03-02,18.31,,5
581,254,2024-11-06,31958,0,CAR,CANCELLED,2024-11-21,22.84,,65
582,1454,2025-02-20,7703,4710,CAR,PENDING,2025-03-07,8.03,,94
583,1076,2025-10-16,7646,40595,PERSONAL,APPROVED,2025-10-20,17.78,,11
584,802,2024-08-05,4231,939,CAR,CANCELLED,2024-08-12,11.32,,33
585,809,2024-05-27,42167,15475,MEDICAL,APPROVED,2024-05-30,5.51,,51
586,2478,2024-07-25,28556,5664,MEDICAL,PENDING,2024-08-04,7.71,,89
587,596,2024-12-27,25148,0,PERSONAL,REJECTED,2025-01-21,6.76,,65
588,2748,2025-08-24,15062,13506,CAR,PENDING,2025-09-22,19.49,Mind raise course job process economic message.,29
589,2147,2023-05-26,26597,0,MEDICAL,APPROVED,2023-06-07,10.7,Thought carry effort so federal two cost.,20
590,333,2025-10-30,41616,0,CAR,REJECTED,2025-11-21,11.96,,51
591,2088,2025-06-22,13505,0,PERSONAL,CANCELLED,2025-07-20,20.61,Standard remember ten six time forget figure.,93
592,1661,2025-07-31,17644,45673,CAR,CANCELLED,2025-08-05,21.52,Morning reflect site political current account person.,63
593,1585,2025-07-06,25910,31195,MEDICAL,APPROVED,2025-07-28,15.99,Head affect rest important ok parent care.,45
594,1163,2025-10-15,20447,335,BUSINESS,REJECTED,2025-10-30,23.83,,68
595,1860,2022-11-28,14301,20875,CAR,REJECTED,2022-12-10,18.73,,19
596,1267,2024-07-17,18839,0,EDUCATION,PENDING,2024-07-26,17.24,,67
597,166,2025-06-10,31268,0,PERSONAL,PENDING,2025-06-28,10.84,,4
598,150,2024-12-03,22863,39778,MEDICAL,CANCELLED,2024-12-21,11.85,,6
599,925,2024-12-24,14572,42971,CAR,APPROVED,2025-01-23,15.57,,53
600,1677,2025-10-17,11054,459,EDUCATION,PENDING,2025-10-27,23.97,,46
601,690,2024-06-08,27773,9162,MEDICAL,CANCELLED,2024-06-26,23.49,,66
602,1654,2025-08-08,49022,0,EDUCATION,APPROVED,2025-08-26,22.14,,23
603,2789,2024-08-09,41973,7869,CAR,CANCELLED,2024-09-07,6.16,Scientist time place edge.,86
